S.NO,Date,Entity,Code,Oil Consumption - EJ,Gas Consumption - EJ,Coal Consumption - EJ,Hydro Consumption - EJ,Nuclear Consumption - EJ,Annual CO2 emissions per unit energy (kg per kilowatt-hour)
44,13-02-2010,India,IND,1734.1092,399.87697,3015.3202,304.01784,40.205375,0.263
45,14-02-2010,India,IND,1825.0987,491.08124,3266.0752,278.97344,44.11655,0.269
46,15-02-2010,India,IND,1866.3136,589.61669,3377.142,283.53545,60.183463,0.267
47,16-02-2010,India,IND,1953.5029,602.85925,3542.8437,341.3079,83.506476,0.268
48,17-02-2010,India,IND,2069.5759,556.99136,3837.7606,298.21211,85.359927,0.281
49,18-02-2010,India,IND,2083.451,490.19341,4102.856,337.9086,85.27718,0.281
50,19-02-2010,India,IND,2144.1227,485.01605,4507.1405,353.73336,88.272163,0.282
51,20-02-2010,India,IND,2316.8021,478.06875,4597.0264,337.17335,96.908982,0.283
52,21-02-2010,India,IND,2540.9752,507.91022,4682.3628,322.85342,95.304591,0.285
53,22-02-2010,India,IND,2635.2339,537.35587,4849.1729,339.6252,93.536199,0.279
54,23-02-2010,India,IND,2763.984,580.914,5154.9107,347.03921,97.05591,0.281
55,24-02-2010,India,IND,2843.93,596.80896,5172.2228,400.76976,111.83318,0.277
56,25-02-2010,India,IND,2540.9756,507.91032,5682.3628,422.85342,111.309591,0.285
57,26-02-2010,India,IND,2635.2339,537.35587,4849.1729,339.6252,112.536199,0.289
58,27-02-2010,India,IND,2763.984,580.914,5154.9107,347.03921,112.05591,0.281
59,28-02-2010,India,IND,2843.93,596.80896,5172.2228,400.76776,112.83319,0.279
60,01-03-2010,India,IND,146.99525,2.3725218,413.40768,53.241536,112.9342,0.249
61,02-03-2010,India,IND,164.1498,2.6632721,412.41569,55.59855,113.1123,0.251
62,03-03-2010,India,IND,169.36036,3.5587828,419.28558,62.21538,113.1445,0.244
63,04-03-2010,India,IND,189.77104,3.9542031,433.82506,71.803031,113.6532,0.249
64,05-03-2010,India,IND,227.92901,4.7450437,460.84157,79.721129,2.0132838,0.229
65,06-03-2010,India,IND,226.89162,6.3284712,436.80922,84.545644,3.6337317,0.239
66,07-03-2010,India,IND,243.3326,6.7062241,442.87255,92.733817,2.7007466,0.243
67,08-03-2010,India,IND,262.38346,7.3559121,467.6834,90.008518,2.5657092,0.244
68,09-03-2010,India,IND,276.95929,7.3366621,461.44977,95.851952,5.4260454,0.247
69,10-03-2010,India,IND,271.54317,8.3039753,520.85651,92.230496,4.9963812,0.24
70,11-03-2010,India,IND,278.09305,10.6308,559.90665,110.19046,5.9539186,0.243
71,12-03-2010,India,IND,293.25892,12.914354,583.03529,115.27277,7.377948,0.242
72,13-03-2010,India,IND,315.04428,13.792636,610.34665,125.76885,5.1436946,0.242
73,14-03-2010,India,IND,342.374,15.404824,590.66458,156.04177,6.2853739,0.237
74,15-03-2010,India,IND,369.47305,19.158577,627.49338,150.46841,6.5186202,0.235
75,16-03-2010,India,IND,376.81647,11.33104,659.56551,154.00393,6.8009709,0.241
76,17-03-2010,India,IND,405.6556,19.781797,742.143,164.11946,6.850075,0.235
77,18-03-2010,India,IND,422.65667,25.934583,733.90461,138.49919,5.990747,0.245
78,19-03-2010,India,IND,444.3533,30.857774,779.04867,133.45371,8.5441801,0.252
79,20-03-2010,India,IND,477.06741,35.340622,818.31148,149.118,11.220374,0.242
80,21-03-2010,India,IND,517.6362,43.228315,857.39776,143.92524,12.521643,0.252
81,22-03-2010,India,IND,544.25989,60.400292,921.24079,146.02445,13.945673,0.253
82,23-03-2010,India,IND,561.76722,69.577063,1011.6306,136.00714,14.78044,0.254
83,24-03-2010,India,IND,616.50128,81.50495,1085.5582,151.7083,16.879666,0.252
84,25-03-2010,India,IND,667.77317,96.904673,1179.942,176.0272,11.17127,0.253
85,26-03-2010,India,IND,693.53732,115.92744,1276.0261,184.43644,17.763546,0.252
86,27-03-2010,India,IND,704.79804,129.10812,1357.8787,205.33039,15.038248,0.255
87,28-03-2010,India,IND,741.82693,144.34701,1438.2577,194.61334,17.788099,0.258
88,29-03-2010,India,IND,749.62829,146.67096,1489.6265,196.47931,17.297054,0.26
89,30-03-2010,India,IND,805.07007,158.5693,1537.2883,222.81159,13.736979,0.261
90,31-03-2010,India,IND,897.83953,180.77843,1631.6147,210.89148,21.151756,0.258
91,01-04-2010,India,IND,969.20807,197.31737,1678.483,191.82666,23.336905,0.269
92,02-04-2010,India,IND,1036.2613,214.5265,1755.9248,195.03073,27.97727,0.265
93,03-04-2010,India,IND,1109.9131,235.42893,1814.3417,232.31331,31.586459,0.255
94,04-04-2010,India,IND,1211.4325,241.2338,1797.316,228.47088,35.355228,0.27
95,05-04-2010,India,IND,1273.5222,253.62713,1911.7929,213.8623,43.801199,0.264
96,06-04-2010,India,IND,1280.5434,254.27768,1927.7267,198.76482,52.127438,0.266
97,07-04-2010,India,IND,1364.8846,265.54433,2013.4577,187.94582,53.063493,0.262
98,08-04-2010,India,IND,1400.5102,284.26921,2108.8195,188.78785,49.424371,0.261
99,09-04-2010,India,IND,1437.8411,306.69163,2243.5303,272.42251,57.540173,0.259
100,10-04-2010,India,IND,1464.2461,343.25664,2456.1153,262.0476,47.683424,0.257
101,11-04-2010,India,IND,1538.3931,358.7721,2550.4281,301.02141,47.128955,0.26
102,12-04-2010,India,IND,1653.9789,388.10291,2791.5727,325.6913,47.365703,0.258
103,13-04-2010,India,IND,1734.1092,399.87697,3015.3202,304.01784,40.205375,0.263
104,14-04-2010,India,IND,1825.0987,491.08124,3266.0752,278.97344,44.11655,0.269
105,15-04-2010,India,IND,1866.3136,589.61669,3377.142,283.53545,60.183463,0.267
106,16-04-2010,India,IND,1953.5029,602.85925,3542.8437,341.3079,83.506476,0.268
107,17-04-2010,India,IND,2069.5759,556.99136,3837.7606,298.21211,85.359927,0.281
108,18-04-2010,India,IND,2083.451,490.19341,4102.856,337.9086,85.27718,0.281
109,19-04-2010,India,IND,2144.1227,485.01605,4507.1405,353.73336,88.272163,0.282
110,20-04-2010,India,IND,2316.8021,478.06875,4597.0264,337.17335,96.908982,0.283
111,21-04-2010,India,IND,2540.9752,507.91022,4682.3628,322.85342,95.304591,0.285
112,22-04-2010,India,IND,2635.2339,537.35587,4849.1729,339.6252,93.536199,0.279
113,23-04-2010,India,IND,2763.984,580.914,5154.9107,347.03921,97.05591,0.281
114,24-04-2010,India,IND,2843.93,596.80896,5172.2228,400.76976,111.83318,0.277
115,25-04-2010,India,IND,2540.9752,507.91022,4682.3628,322.85342,95.304591,0.285
116,26-04-2010,India,IND,2635.2339,537.35587,4849.1729,339.6252,93.536199,0.279
117,27-04-2010,India,IND,2763.984,580.914,5154.9107,347.03921,97.05591,0.281
118,28-04-2010,India,IND,2843.93,596.80896,5172.2228,400.76776,111.83319,0.279
119,29-04-2010,India,IND,146.99525,2.3725218,413.40768,53.241536,112.05591,0.249
120,30-04-2010,India,IND,164.1498,2.6632721,412.41569,55.59855,112.83319,0.251
121,01-05-2010,India,IND,169.36036,3.5587828,419.28558,62.21538,112.9342,0.244
122,02-05-2010,India,IND,189.77104,3.9542031,433.82506,71.803031,113.1123,0.249
123,03-05-2010,India,IND,227.92901,4.7450437,460.84157,79.721129,2.0132838,0.229
124,04-05-2010,India,IND,226.89162,6.3284712,436.80922,84.545644,3.6337317,0.239
125,05-05-2010,India,IND,243.3326,6.7062241,442.87255,92.733817,2.7007466,0.243
126,06-05-2010,India,IND,262.38346,7.3559121,467.6834,90.008518,2.5657092,0.244
127,07-05-2010,India,IND,276.95929,7.3366621,461.44977,95.851952,5.4260454,0.247
128,08-05-2010,India,IND,271.54317,8.3039753,520.85651,92.230496,4.9963812,0.24
129,09-05-2010,India,IND,278.09305,10.6308,559.90665,110.19046,5.9539186,0.243
130,10-05-2010,India,IND,293.25892,12.914354,583.03529,115.27277,7.377948,0.242
131,11-05-2010,India,IND,315.04428,13.792636,610.34665,125.76885,5.1436946,0.242
132,12-05-2010,India,IND,342.374,15.404824,590.66458,156.04177,6.2853739,0.237
133,13-05-2010,India,IND,369.47305,19.158577,627.49338,150.46841,6.5186202,0.235
134,14-05-2010,India,IND,376.81647,11.33104,659.56551,154.00393,6.8009709,0.241
135,15-05-2010,India,IND,405.6556,19.781797,742.143,164.11946,6.850075,0.235
136,16-05-2010,India,IND,422.65667,25.934583,733.90461,138.49919,5.990747,0.245
137,17-05-2010,India,IND,444.3533,30.857774,779.04867,133.45371,8.5441801,0.252
138,18-05-2010,India,IND,477.06741,35.340622,818.31148,149.118,11.220374,0.242
139,19-05-2010,India,IND,517.6362,43.228315,857.39776,143.92524,12.521643,0.252
140,20-05-2010,India,IND,544.25989,60.400292,921.24079,146.02445,13.945673,0.253
141,21-05-2010,India,IND,561.76722,69.577063,1011.6306,136.00714,14.78044,0.254
142,22-05-2010,India,IND,616.50128,81.50495,1085.5582,151.7083,16.879666,0.252
143,23-05-2010,India,IND,667.77317,96.904673,1179.942,176.0272,11.17127,0.253
144,24-05-2010,India,IND,693.53732,115.92744,1276.0261,184.43644,17.763546,0.252
145,25-05-2010,India,IND,704.79804,129.10812,1357.8787,205.33039,15.038248,0.255
146,26-05-2010,India,IND,741.82693,144.34701,1438.2577,194.61334,17.788099,0.258
147,27-05-2010,India,IND,749.62829,146.67096,1489.6265,196.47931,17.297054,0.26
148,28-05-2010,India,IND,805.07007,158.5693,1537.2883,222.81159,13.736979,0.261
149,29-05-2010,India,IND,897.83953,180.77843,1631.6147,210.89148,21.151756,0.258
150,30-05-2010,India,IND,969.20807,197.31737,1678.483,191.82666,23.336905,0.269
151,31-05-2010,India,IND,1036.2613,214.5265,1755.9248,195.03073,27.97727,0.265
152,01-06-2010,India,IND,1109.9131,235.42893,1814.3417,232.31331,31.586459,0.255
153,02-06-2010,India,IND,1211.4325,241.2338,1797.316,228.47088,35.355228,0.27
154,03-06-2010,India,IND,1273.5222,253.62713,1911.7929,213.8623,43.801199,0.264
155,04-06-2010,India,IND,1280.5434,254.27768,1927.7267,198.76482,52.127438,0.266
156,05-06-2010,India,IND,1364.8846,265.54433,2013.4577,187.94582,53.063493,0.262
157,06-06-2010,India,IND,1400.5102,284.26921,2108.8195,188.78785,49.424371,0.261
158,07-06-2010,India,IND,1437.8411,306.69163,2243.5303,272.42251,57.540173,0.259
159,08-06-2010,India,IND,1464.2461,343.25664,2456.1153,262.0476,47.683424,0.257
160,09-06-2010,India,IND,1538.3931,358.7721,2550.4281,301.02141,47.128955,0.26
161,10-06-2010,India,IND,1653.9789,388.10291,2791.5727,325.6913,47.365703,0.258
162,11-06-2010,India,IND,1734.1092,399.87697,3015.3202,304.01784,40.205375,0.263
163,12-06-2010,India,IND,1825.0987,491.08124,3266.0752,278.97344,44.11655,0.269
164,13-06-2010,India,IND,1866.3136,589.61669,3377.142,283.53545,60.183463,0.267
165,14-06-2010,India,IND,1953.5029,602.85925,3542.8437,341.3079,83.506476,0.268
166,15-06-2010,India,IND,2069.5759,556.99136,3837.7606,298.21211,85.359927,0.281
167,16-06-2010,India,IND,2083.451,490.19341,4102.856,337.9086,85.27718,0.281
168,17-06-2010,India,IND,2144.1227,485.01605,4507.1405,353.73336,88.272163,0.282
169,18-06-2010,India,IND,2316.8021,478.06875,4597.0264,337.17335,96.908982,0.283
170,19-06-2010,India,IND,2540.9752,507.91022,4682.3628,322.85342,95.304591,0.285
171,20-06-2010,India,IND,2635.2339,537.35587,4849.1729,339.6252,93.536199,0.279
172,21-06-2010,India,IND,2763.984,580.914,5154.9107,347.03921,97.05591,0.281
173,22-06-2010,India,IND,2843.93,596.80896,5172.2228,400.76976,111.83318,0.277
174,23-06-2010,India,IND,2540.9752,507.91022,4682.3628,322.85342,95.304591,0.285
175,24-06-2010,India,IND,2635.2339,537.35587,4849.1729,339.6252,93.536199,0.279
176,25-06-2010,India,IND,2763.984,580.914,5154.9107,347.03921,97.05591,0.281
177,26-06-2010,India,IND,2843.93,596.80896,5172.2228,400.76776,111.83319,0.279
178,27-06-2010,India,IND,146.99525,2.3725218,413.40768,53.241536,112.05591,0.249
179,28-06-2010,India,IND,164.1498,2.6632721,412.41569,55.59855,112.83319,0.251
180,29-06-2010,India,IND,169.36036,3.5587828,419.28558,62.21538,112.9342,0.244
181,30-06-2010,India,IND,189.77104,3.9542031,433.82506,71.803031,113.1123,0.249
182,01-07-2010,India,IND,227.92901,4.7450437,460.84157,79.721129,2.0132838,0.229
183,02-07-2010,India,IND,226.89162,6.3284712,436.80922,84.545644,3.6337317,0.239
184,03-07-2010,India,IND,243.3326,6.7062241,442.87255,92.733817,2.7007466,0.243
185,04-07-2010,India,IND,262.38346,7.3559121,467.6834,90.008518,2.5657092,0.244
186,05-07-2010,India,IND,276.95929,7.3366621,461.44977,95.851952,5.4260454,0.247
187,06-07-2010,India,IND,271.54317,8.3039753,520.85651,92.230496,4.9963812,0.24
188,07-07-2010,India,IND,278.09305,10.6308,559.90665,110.19046,5.9539186,0.243
189,08-07-2010,India,IND,293.25892,12.914354,583.03529,115.27277,7.377948,0.242
190,09-07-2010,India,IND,315.04428,13.792636,610.34665,125.76885,5.1436946,0.242
191,10-07-2010,India,IND,342.374,15.404824,590.66458,156.04177,6.2853739,0.237
192,11-07-2010,India,IND,369.47305,19.158577,627.49338,150.46841,6.5186202,0.235
193,12-07-2010,India,IND,376.81647,11.33104,659.56551,154.00393,6.8009709,0.241
194,13-07-2010,India,IND,405.6556,19.781797,742.143,164.11946,6.850075,0.235
195,14-07-2010,India,IND,422.65667,25.934583,733.90461,138.49919,5.990747,0.245
196,15-07-2010,India,IND,444.3533,30.857774,779.04867,133.45371,8.5441801,0.252
197,16-07-2010,India,IND,477.06741,35.340622,818.31148,149.118,11.220374,0.242
198,17-07-2010,India,IND,517.6362,43.228315,857.39776,143.92524,12.521643,0.252
199,18-07-2010,India,IND,544.25989,60.400292,921.24079,146.02445,13.945673,0.253
200,19-07-2010,India,IND,561.76722,69.577063,1011.6306,136.00714,14.78044,0.254
201,20-07-2010,India,IND,616.50128,81.50495,1085.5582,151.7083,16.879666,0.252
202,21-07-2010,India,IND,667.77317,96.904673,1179.942,176.0272,11.17127,0.253
203,22-07-2010,India,IND,693.53732,115.92744,1276.0261,184.43644,17.763546,0.252
204,23-07-2010,India,IND,704.79804,129.10812,1357.8787,205.33039,15.038248,0.255
205,24-07-2010,India,IND,741.82693,144.34701,1438.2577,194.61334,17.788099,0.258
206,25-07-2010,India,IND,749.62829,146.67096,1489.6265,196.47931,17.297054,0.26
207,26-07-2010,India,IND,805.07007,158.5693,1537.2883,222.81159,13.736979,0.261
208,27-07-2010,India,IND,897.83953,180.77843,1631.6147,210.89148,21.151756,0.258
209,28-07-2010,India,IND,969.20807,197.31737,1678.483,191.82666,23.336905,0.269
210,29-07-2010,India,IND,1036.2613,214.5265,1755.9248,195.03073,27.97727,0.265
211,30-07-2010,India,IND,1109.9131,235.42893,1814.3417,232.31331,31.586459,0.255
212,31-07-2010,India,IND,1211.4325,241.2338,1797.316,228.47088,35.355228,0.27
213,01-08-2010,India,IND,1273.5222,253.62713,1911.7929,213.8623,43.801199,0.264
214,02-08-2010,India,IND,1280.5434,254.27768,1927.7267,198.76482,52.127438,0.266
215,03-08-2010,India,IND,1364.8846,265.54433,2013.4577,187.94582,53.063493,0.262
216,04-08-2010,India,IND,1400.5102,284.26921,2108.8195,188.78785,49.424371,0.261
217,05-08-2010,India,IND,1437.8411,306.69163,2243.5303,272.42251,57.540173,0.259
218,06-08-2010,India,IND,1464.2461,343.25664,2456.1153,262.0476,47.683424,0.257
219,07-08-2010,India,IND,1538.3931,358.7721,2550.4281,301.02141,47.128955,0.26
220,08-08-2010,India,IND,1653.9789,388.10291,2791.5727,325.6913,47.365703,0.258
221,09-08-2010,India,IND,1734.1092,399.87697,3015.3202,304.01784,40.205375,0.263
222,10-08-2010,India,IND,1825.0987,491.08124,3266.0752,278.97344,44.11655,0.269
223,11-08-2010,India,IND,1866.3136,589.61669,3377.142,283.53545,60.183463,0.267
224,12-08-2010,India,IND,1953.5029,602.85925,3542.8437,341.3079,83.506476,0.268
225,13-08-2010,India,IND,2069.5759,556.99136,3837.7606,298.21211,85.359927,0.281
226,14-08-2010,India,IND,2083.451,490.19341,4102.856,337.9086,85.27718,0.281
227,15-08-2010,India,IND,2144.1227,485.01605,4507.1405,353.73336,88.272163,0.282
228,16-08-2010,India,IND,2316.8021,478.06875,4597.0264,337.17335,96.908982,0.283
229,17-08-2010,India,IND,2540.9752,507.91022,4682.3628,322.85342,95.304591,0.285
230,18-08-2010,India,IND,2635.2339,537.35587,4849.1729,339.6252,93.536199,0.279
231,19-08-2010,India,IND,2763.984,580.914,5154.9107,347.03921,97.05591,0.281
232,20-08-2010,India,IND,2843.93,596.80896,5172.2228,400.76976,111.83318,0.277
233,21-08-2010,India,IND,2540.9752,507.91022,4682.3628,322.85342,95.304591,0.285
234,22-08-2010,India,IND,2635.2339,537.35587,4849.1729,339.6252,93.536199,0.279
235,23-08-2010,India,IND,2763.984,580.914,5154.9107,347.03921,97.05591,0.281
236,24-08-2010,India,IND,2843.93,596.80896,5172.2228,400.76776,111.83319,0.279
237,25-08-2010,India,IND,146.99525,2.3725218,413.40768,53.241536,112.05591,0.249
238,26-08-2010,India,IND,164.1498,2.6632721,412.41569,55.59855,112.83319,0.251
239,27-08-2010,India,IND,169.36036,3.5587828,419.28558,62.21538,112.9342,0.244
240,28-08-2010,India,IND,189.77104,3.9542031,433.82506,71.803031,113.1123,0.249
241,29-08-2010,India,IND,227.92901,4.7450437,460.84157,79.721129,2.0132838,0.229
242,30-08-2010,India,IND,226.89162,6.3284712,436.80922,84.545644,3.6337317,0.239
243,31-08-2010,India,IND,243.3326,6.7062241,442.87255,92.733817,2.7007466,0.243
244,01-09-2010,India,IND,262.38346,7.3559121,467.6834,90.008518,2.5657092,0.244
245,02-09-2010,India,IND,276.95929,7.3366621,461.44977,95.851952,5.4260454,0.247
246,03-09-2010,India,IND,271.54317,8.3039753,520.85651,92.230496,4.9963812,0.24
247,04-09-2010,India,IND,278.09305,10.6308,559.90665,110.19046,5.9539186,0.243
248,05-09-2010,India,IND,293.25892,12.914354,583.03529,115.27277,7.377948,0.242
249,06-09-2010,India,IND,315.04428,13.792636,610.34665,125.76885,5.1436946,0.242
250,07-09-2010,India,IND,342.374,15.404824,590.66458,156.04177,6.2853739,0.237
251,08-09-2010,India,IND,369.47305,19.158577,627.49338,150.46841,6.5186202,0.235
252,09-09-2010,India,IND,376.81647,11.33104,659.56551,154.00393,6.8009709,0.241
253,10-09-2010,India,IND,405.6556,19.781797,742.143,164.11946,6.850075,0.235
254,11-09-2010,India,IND,422.65667,25.934583,733.90461,138.49919,5.990747,0.245
255,12-09-2010,India,IND,444.3533,30.857774,779.04867,133.45371,8.5441801,0.252
256,13-09-2010,India,IND,477.06741,35.340622,818.31148,149.118,11.220374,0.242
257,14-09-2010,India,IND,517.6362,43.228315,857.39776,143.92524,12.521643,0.252
258,15-09-2010,India,IND,544.25989,60.400292,921.24079,146.02445,13.945673,0.253
259,16-09-2010,India,IND,561.76722,69.577063,1011.6306,136.00714,14.78044,0.254
260,17-09-2010,India,IND,616.50128,81.50495,1085.5582,151.7083,16.879666,0.252
261,18-09-2010,India,IND,667.77317,96.904673,1179.942,176.0272,11.17127,0.253
262,19-09-2010,India,IND,693.53732,115.92744,1276.0261,184.43644,17.763546,0.252
263,20-09-2010,India,IND,704.79804,129.10812,1357.8787,205.33039,15.038248,0.255
264,21-09-2010,India,IND,741.82693,144.34701,1438.2577,194.61334,17.788099,0.258
265,22-09-2010,India,IND,749.62829,146.67096,1489.6265,196.47931,17.297054,0.26
266,23-09-2010,India,IND,805.07007,158.5693,1537.2883,222.81159,13.736979,0.261
267,24-09-2010,India,IND,897.83953,180.77843,1631.6147,210.89148,21.151756,0.258
268,25-09-2010,India,IND,969.20807,197.31737,1678.483,191.82666,23.336905,0.269
269,26-09-2010,India,IND,1036.2613,214.5265,1755.9248,195.03073,27.97727,0.265
270,27-09-2010,India,IND,1109.9131,235.42893,1814.3417,232.31331,31.586459,0.255
271,28-09-2010,India,IND,1211.4325,241.2338,1797.316,228.47088,35.355228,0.27
272,29-09-2010,India,IND,1273.5222,253.62713,1911.7929,213.8623,43.801199,0.264
273,30-09-2010,India,IND,1280.5434,254.27768,1927.7267,198.76482,52.127438,0.266
274,01-10-2010,India,IND,1364.8846,265.54433,2013.4577,187.94582,53.063493,0.262
275,02-10-2010,India,IND,1400.5102,284.26921,2108.8195,188.78785,49.424371,0.261
276,03-10-2010,India,IND,1437.8411,306.69163,2243.5303,272.42251,57.540173,0.259
277,04-10-2010,India,IND,1464.2461,343.25664,2456.1153,262.0476,47.683424,0.257
278,05-10-2010,India,IND,1538.3931,358.7721,2550.4281,301.02141,47.128955,0.26
279,06-10-2010,India,IND,1653.9789,388.10291,2791.5727,325.6913,47.365703,0.258
280,07-10-2010,India,IND,1734.1092,399.87697,3015.3202,304.01784,40.205375,0.263
281,08-10-2010,India,IND,1825.0987,491.08124,3266.0752,278.97344,44.11655,0.269
282,09-10-2010,India,IND,1866.3136,589.61669,3377.142,283.53545,60.183463,0.267
283,10-10-2010,India,IND,1953.5029,602.85925,3542.8437,341.3079,83.506476,0.268
284,11-10-2010,India,IND,2069.5759,556.99136,3837.7606,298.21211,85.359927,0.281
285,12-10-2010,India,IND,2083.451,490.19341,4102.856,337.9086,85.27718,0.281
286,13-10-2010,India,IND,2144.1227,485.01605,4507.1405,353.73336,88.272163,0.282
287,14-10-2010,India,IND,2316.8021,478.06875,4597.0264,337.17335,96.908982,0.283
288,15-10-2010,India,IND,2540.9752,507.91022,4682.3628,322.85342,95.304591,0.285
289,16-10-2010,India,IND,2635.2339,537.35587,4849.1729,339.6252,93.536199,0.279
290,17-10-2010,India,IND,2763.984,580.914,5154.9107,347.03921,97.05591,0.281
291,18-10-2010,India,IND,2843.93,596.80896,5172.2228,400.76976,111.83318,0.277
292,19-10-2010,India,IND,2540.9752,507.91022,4682.3628,322.85342,95.304591,0.285
293,20-10-2010,India,IND,2635.2339,537.35587,4849.1729,339.6252,93.536199,0.279
294,21-10-2010,India,IND,2763.984,580.914,5154.9107,347.03921,97.05591,0.281
295,22-10-2010,India,IND,2843.93,596.80896,5172.2228,400.76776,111.83319,0.279
296,23-10-2010,India,IND,146.99525,2.3725218,413.40768,53.241536,112.05591,0.249
297,24-10-2010,India,IND,164.1498,2.6632721,412.41569,55.59855,112.83319,0.251
298,25-10-2010,India,IND,169.36036,3.5587828,419.28558,62.21538,112.9342,0.244
299,26-10-2010,India,IND,189.77104,3.9542031,433.82506,71.803031,113.1123,0.249
300,27-10-2010,India,IND,227.92901,4.7450437,460.84157,79.721129,2.0132838,0.229
301,28-10-2010,India,IND,226.89162,6.3284712,436.80922,84.545644,3.6337317,0.239
302,29-10-2010,India,IND,243.3326,6.7062241,442.87255,92.733817,2.7007466,0.243
303,30-10-2010,India,IND,262.38346,7.3559121,467.6834,90.008518,2.5657092,0.244
304,31-10-2010,India,IND,276.95929,7.3366621,461.44977,95.851952,5.4260454,0.247
305,01-11-2010,India,IND,271.54317,8.3039753,520.85651,92.230496,4.9963812,0.24
306,02-11-2010,India,IND,278.09305,10.6308,559.90665,110.19046,5.9539186,0.243
307,03-11-2010,India,IND,293.25892,12.914354,583.03529,115.27277,7.377948,0.242
308,04-11-2010,India,IND,315.04428,13.792636,610.34665,125.76885,5.1436946,0.242
309,05-11-2010,India,IND,342.374,15.404824,590.66458,156.04177,6.2853739,0.237
310,06-11-2010,India,IND,369.47305,19.158577,627.49338,150.46841,6.5186202,0.235
311,07-11-2010,India,IND,376.81647,11.33104,659.56551,154.00393,6.8009709,0.241
312,08-11-2010,India,IND,405.6556,19.781797,742.143,164.11946,6.850075,0.235
